Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
Czy jest grafika,Obrazek z tekstu,Ile jest obrazków,Czy s? obrazki tylko online?,Kod zapisu obrazków offline,LIKE,LOVE,HUG,HAHA,WOW,CRY,WRR,Liczba komentarzy
1-0,1-0,liczba,1-0,LP_Koder,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba
0,0,0,0,NA,7,,,,,,,96
1,0,1,0,136_M,16,1,,27,,,,5
1,0,4,0,137_M,13,,,,,,,1
1,0,3,0,138_M,13,,,,,,,2
0,0,0,0,NA,4,,,,,,,53
1,0,1,0,140_M,82,7,,,,,,16
1,0,2,0,141_M,11,,,,,,,
1,0,1,0,142_A,1,,,,,,,
0,0,0,0,NA,,1,,,,,,15
0,0,0,0,NA,4,,,,,,,54
1,0,0,0,145_A,9,3,,5,,,,15
0,0,0,0,NA,1,,4,,,,,47
0,0,0,0,NA,2,,,,,,,2
1,0,0,0,NA,3,,,,,,,
0,0,0,0,NA,,,,,,,,2
1,0,1,0,150_A,12,5,,,1,,,10
0,0,0,0,NA,5,,,,,,,28
1,0,1,0,152_M,100,9,,,1,,1,23
0,0,0,0,NA,2,,4,,,,,7
0,0,0,0,NA,,,,,,,,
1,0,1,1,NA,525,81,,,19,,,54
1,0,1,0,156_M,27,,,,,,,6
1,0,1,0,157_M,42,5,,,,,,41
1,0,1,1,NA,12,,,,,,,
1,0,1,0,159_M,3,,,,,,,
1,0,3,0,160_M,42,,,,,,,9
1,0,1,0,161_M,,,,,,,,
0,0,0,0,NA,1,,,,,,,
1,0,1,0,163_M,143,15,,1,1,,,14
0,0,0,0,NA,4,,,,,,,51
0,0,0,0,NA,5,,,,,,,41
1,0,1,0,166_M,75,,,,,,,32
1,0,1,0,167_M,8,1,,,,,,3
1,0,1,1,NA,96,30,,2,2,,,11
1,0,1,0,169_M,,,,,,,,
1,0,1,0,170_M,637,472,14,,2,,,94
1,0,2,1,171_M,3,,,,,,,
1,0,1,0,172_M,2,,,,,,,3
0,0,0,0,NA,2,,,,,,,2
1,0,1,1,FB Video,3,2,,,,,,
1,0,3,1,175_G,1,,,,,,,
0,0,0,0,NA,,,,,,,,26
1,0,1,0,177_G,,,,,,,,
0,0,0,0,NA,1,,,,,,,64
1,0,1,0,179_G,,,,,,,,
1,0,1,0,180_G,5,1,,,,,,5
1,1,0,1,NA,1,,,,,,,35
0,0,0,0,NA,2,,,,,,,1
0,0,0,0,NA,1,,,,,,,9
1,0,1,0,184_G,2,1,1,,,,,16
0,0,0,0,NA,1,,,,,,,32
0,0,0,0,NA,1,,1,,,,,17
1,0,2,0,187_G,44,2,,,,,,20
1,0,3,0,188_G,31,6,,,,,,17
0,0,0,0,NA,5,,,,,,,54
1,0,4,0,190_M,21,6,,,,,,15
0,0,0,0,NA,9,2,1,,,,,49
1,0,1,0,192_M,174,28,,,,,,15
1,0,1,0,193_M,7,2,,,,,,6
0,0,0,0,NA,7,1,,,,,,28
1,0,1,0,195_M,34,5,,,,,,39
1,0,1,0,196_M,2,,,,,,,5
1,0,1,0,197_M,186,83,,,1,,,14
1,0,1,0,198_M,11,,,,7,,,8
1,0,5,0,199_M,1,,,,,,,
1,0,1,0,200_M,15,1,,,,,,12
1,0,1,0,201_M,1,,,,,,,
1,0,1,0,202_M,,,,,,,,
1,0,1,0,203_M,2,,,,,,,
0,0,0,0,NA,,,,,,,,1
1,0,1,0,205_M,23,5,,,1,,,2
0,0,0,0,NA,,,,,,,,1
1,0,8,0,207_M,3,,,,,,,3
0,0,0,0,NA,,,,,,,,4
1,0,1,0,209_M,31,5,,,,,,24
1,1,1,1,NA,28,,,,,,,212
0,0,0,0,NA,2,,,,,,,4
1,0,19,1,NA,6,1,,,,,,
0,0,0,0,NA,2,,,,,,,31
1,0,1,0,214_G,2,1,,,,,,
0,0,0,0,NA,1,,,,,,,29
0,0,0,0,NA,,,,,,,,5
1,0,1,0,217_G,2,,,,,,,
0,0,0,0,NA,7,1,,,,,,24
1,0,1,1,NA,86,22,2,,,,,18
1,0,5,0,220_G,16,2,,,,,,9
0,0,0,0,NA,,,,,,,,
0,0,0,0,NA,1,,,,,,,15
0,0,0,0,NA,2,,,,,,,31
