Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
Czy jest grafika,Obrazek z tekstu,Ile jest obrazków,Czy s? obrazki tylko online?,Kod zapisu obrazków offline,LIKE,LOVE,HUG,HAHA,WOW,CRY,WRR,Liczba komentarzy
1-0,1-0,liczba,1-0,LP_Koder,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba
0,0,0,0,NA,,,,,,,,6
1,0,1,0,584_G,29,6,,,2,,,20
0,0,0,0,NA,,2,,,,,,
1,0,1,0,586_G,1,,,,,,,
1,0,7,0,587_G,4,,,,,,,
1,0,1,0,588_G,12,1,,,,,,2
0,0,0,0,NA,,,,,,,,2
1,0,7,0,590_M,77,,,,,,,15
0,0,14,0,591_M,104,9,,,1,,,16
1,0,1,0,592_M,6,,,,1,,,
1,0,2,1,593_M,35,3,,,,,,14
1,0,1,0,594_M,3,,,,,,,9
1,0,1,0,595_M,,,,,,,,
1,0,1,0,596_M,50,,,,,,,9
1,0,1,0,597_M,92,3,2,81,1,,,95
1,0,1,0,598_M,6,,,,,,,8
1,0,1,0,599_M,171,15,,,,,,81
1,0,1,0,600_M,58,6,,,,,,14
1,0,2,1,601_M,13,,,,,,,11
1,0,1,0,602_M,3,,,,,,,
0,0,0,0,NA,16,1,,,,,,136
0,0,0,0,NA,9,4,,,,,,67
0,0,0,0,NA,,,,,,,,2
0,0,0,0,NA,1,,,,,,,15
0,0,0,0,NA,4,,,,,,,75
0,0,0,0,NA,5,3,,,,,,
1,0,1,0,609_M,39,6,,,,,,7
0,0,0,0,NA,,,,,,,,16
0,0,0,0,NA,5,,,,,,,51
1,0,1,0,612_M,5,1,,,,,,
0,0,0,0,0,7,1,,,,,,55
1,0,1,0,614_M,72,9,,,,,,9
0,0,0,0,NA,15,4,,,,,,9
0,0,0,0,NA,5,,,,,,,27
1,0,1,0,617_M,138,33,1,,,,,23
1,0,1,1,NA,121,8,1,,,,,6
1,0,1,0,619_M,71,7,,,,,,31
1,0,1,1,NA,87,5,,,,,,6
1,0,1,0,621_M,38,,,,,,,6
1,0,1,0,622_M,5,,,,,,,1
1,0,3,0,623_M,18,,,,,,,11
1,0,1,0,624_M,6,1,,,,,,2
1,0,1,1,NA,9,,,,,,,
1,0,1,0,626_M,31,2,,,,,,18
1,0,1,0,627_M,7,,,,1,,,9
1,0,1,0,628_M,8,,,,,,,2
1,0,1,0,629_M,9,,,7,,,,
1,0,2,0,630_M,3,,,,,,,7
1,0,1,0,631_M,6,3,,,,,,26
1,0,1,1,NA,71,24,1,,,,,114
1,0,1,0,633_M,60,10,,,,,,6
1,0,1,1,NA,378,57,1,2,,,,56
1,0,1,0,635_M,1,,,,,,,
1,0,1,0,636_M,28,12,1,,,,,1
1,0,7,0,637_M,19,3,,,,,,1
1,0,1,0,638_M,,,,,,,,
1,0,1,0,639_M,2,,,,,,,
1,0,1,0,640_M,15,2,,,,,,6
1,0,3,0,641_M,101,13,,1,,,,16
1,0,5,1,642_M,6,,,,,,,
